TAZID,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
2507,492507,345,1019.207779,2.954225447,31.0330577,0,0,0,0,0,0,0,0,0,0,0,31.0330577,56716,0,0,0,49,UTAH
2508,492508,323.6666667,938.0254669,2.898121937,808.0302698,201.3333333,37.33333333,0.333333333,7,194.3333333,149.3333333,1.333333333,179.3333333,0,0,8.666011474,29.03092494,40398,0,0,0,49,UTAH
2509,492509,363.3333333,934.6602942,2.572459525,584.3683055,98,21.66666667,0,2.666666667,26,66.66666667,85.66666667,246.6666667,0,0,3.999781674,33.03519045,43773,0,0,0,49,UTAH
2510,492510,217.6666667,624.6247937,2.869639175,578.0198245,231.3333333,0,1,5,0.666666667,81.66666667,95,112.6666667,0,0,30.99887113,19.68762004,45083,0,1137,62,49,UTAH
2511,492511,397.3333333,1309.009266,3.294486407,108.0373288,11.33333333,0.333333333,0,0.666666667,0,36.66666667,11.66666667,4,0,0,6.998677378,36.37198475,53273,0,0,0,49,UTAH
2512,492512,284.6666667,1006.341662,3.535158063,75.69404887,0,0,0,1,0,1,0,10,0,0,37.99991823,25.69413064,85930,0,0,0,49,UTAH
2513,492513,39.66666667,119.4554005,3.011480685,1783.672896,660,217.6666667,19,19.33333333,171.3333333,111.6666667,49,472.3333333,3.006428827,0,56.99588973,3.337243712,42945,0,0,0,49,UTAH
2514,492514,203.6666667,655.309371,3.217558286,139.3480279,6,8.333333333,29,0.333333333,1,9.666666667,0.333333333,18,6.346190988,0,41.98352255,18.35164772,57788,0,0,0,49,UTAH
2515,492515,189.6666667,643.0136922,3.390230363,103.3620639,1.333333333,0,16,0.333333333,1,1.333333333,5,3.333333333,2.004285885,0,55.67298327,17.35146144,57788,0,0,0,49,UTAH
2516,492516,496.6666667,1661.001176,3.344297669,587.3791847,35,5,127.3333333,71.33333333,167.6666667,94,0,31,0,0,10.9978644,45.04798698,42945,0,0,0,49,UTAH
2517,492517,213,770.4584806,3.617175965,54.35810259,0,0,0,0,0,0,0,0,1.66976165,0,33.33435353,19.35398741,57788,0,0,0,49,UTAH
2518,492518,292,1085.062016,3.715965807,118.6864177,0,0,0,6,3,0.666666667,0,0,4.343096005,0,78.31518429,26.36147078,57788,0,0,0,49,UTAH
2519,492519,98.66666667,334.2180951,3.387345558,86.678248,1,2,1.666666667,3,3,2,0,3,4.342857144,0,57.65873357,9.00999061,57788,0,0,0,49,UTAH
2520,492520,49,170.6467586,3.482586911,27.00632041,0,0,0,0,1.333333333,0,0,2,0.667618708,0,18.33365038,4.671717987,52259,0,0,0,49,UTAH
2521,492521,0,0,0,125.0037136,7,0.666666667,21.33333333,2.666666667,9,23.66666667,0.666666667,20.66666667,5.010714712,0,34.32633224,0,38465,0,0,0,49,UTAH
2522,492522,4.666666667,19.60593773,4.201272371,4.667741836,0,0,0,0,0,0,0,0,1.002142942,0,3.665598893,0,38465,0,0,0,49,UTAH
2523,492523,8,24.81386295,3.101732868,134.667005,0,2,62.33333333,50,2,13.66666667,0,2,0,0,1.665938653,1.001066377,38465,0,0,0,49,UTAH
2524,492524,30,83.93731555,2.797910518,36.00933675,0,7,3.333333333,2,4,5,0,8,3.006428827,0,0.666375461,3.003199132,43185,0,0,0,49,UTAH
2525,492525,135.6666667,375.279143,2.76618533,186.0126877,42,4.333333333,0.333333333,0,16.33333333,50.66666667,5.666666667,48.33333333,0,0,5.999648044,12.34637296,40860,0,0,4,49,UTAH
2526,492526,294,817.6314678,2.781059414,748.3618343,118.6666667,73.33333333,12.33333333,2,29.66666667,85.33333333,216.3333333,183,0,0,0.666375461,27.02879219,38851,817,0,0,49,UTAH
2527,492527,373.3333333,1176.355406,3.150951979,81.70018579,8,0,0,0.333333333,0,21,0,3.666666667,0,0,14.66377915,34.03640663,37934,641.7777778,80.22222222,0,49,UTAH
2528,492528,239.3333333,773.5198447,3.231977067,194.6900177,0,0,0,0.333333333,0.333333333,121.3333333,10,37.66666667,0,0,2.999890754,22.0234603,45844,16.5,8.25,1436.25,49,UTAH
2529,492529,323,1189.536931,3.682776876,45.36537097,0,0,0,0.333333333,0,1.333333333,0,1.333333333,0,0,13.00085086,29.36452011,85759,0,0,0,49,UTAH
2530,492530,169,621.2760972,3.676189924,18.34979505,0,0,0,0,0,0,0,0,0,0,3.000073154,15.3497219,84556,0,0,0,49,UTAH
2531,492531,209,668.7511514,3.199766275,24.02009123,0.333333333,0,0,0,0,0,0,0,0,0,4.666496729,19.02026117,48272,0,0,0,49,UTAH
2532,492532,247,834.4953432,3.378523657,48.35749536,0,0,0,0,0.333333333,19.66666667,0,1.333333333,0,0,4.333661195,22.69050083,48095,733,0,0,49,UTAH
2533,492533,388.6666667,1344.240872,3.458595727,49.36724009,0,0,0,0,0,0,0,0,0,0,13.99619065,35.37104945,76570,0,0,0,49,UTAH
2534,492534,200,720.5131266,3.602565633,20.35275794,0,0,0,0,0,0,0,0,0,0,1.999818173,18.35293976,45844,0,0,0,49,UTAH
2535,492535,352.3333333,1506.918667,4.276968782,40.03446335,0,0,0,0,0,0,0,0,0.667618708,0,7.332739298,32.03410534,110994,0,0,0,49,UTAH
2536,492536,244.3333333,884.10846,3.618452087,25.35587146,0,0,0,0,0,0,0,0,0,0,3.332411163,22.0234603,51775,0,0,0,49,UTAH
2537,492537,257.6666667,978.156418,3.796208608,55.02444171,0,0,0,0.333333333,3.666666667,10,3,12.66666667,0,0,2.333248364,23.02452668,73688,0,0,0,49,UTAH
2538,492538,206.6666667,744.4153259,3.602009642,18.68653493,0,0,0,0,0,0,0,0,0,0,0,18.68653493,73688,0,0,0,49,UTAH
2539,492539,264.3333333,944.455438,3.572971392,128.0155662,11,0,5,0,0.333333333,22.33333333,3,25.33333333,1.002142942,0,35.98783024,24.02559306,96398,601,0,0,49,UTAH
2540,492540,95.66666667,336.9813541,3.522453179,42.34521871,0,0,0.666666667,2,1.333333333,2,0,17.66666667,0,0,10.00254981,8.676002229,49535,0,0,0,49,UTAH
2541,492541,426,1594.22452,3.742311079,96.03901712,3.333333333,0.666666667,0.333333333,0,3.666666667,2.333333333,1.333333333,7.333333333,1.002142942,0,37.32863722,38.70823696,72263,0,0,0,49,UTAH
2542,492542,159,562.1304001,3.535411322,217.3532783,3.333333333,0,15.66666667,22.33333333,69,39.66666667,31.66666667,7.333333333,4.00857177,0,9.996032309,14.34867425,73637,0,0,0,49,UTAH
2543,492543,121.3333333,449.1049426,3.701414362,276.6847472,0,0.333333333,1,0.666666667,0,155.6666667,2.666666667,71.33333333,3.674047535,0,30.33230288,11.01173015,73688,559.1111111,69.88888889,0,49,UTAH
2544,492544,272,983.3668569,3.615319327,165.0298855,3,12.33333333,0.666666667,29.33333333,9.333333333,59.33333333,6.333333333,18.33333333,1.336428317,0,0,25.0267905,88331,0,1207,0,49,UTAH
2545,492545,258.6666667,920.5637689,3.55888055,28.03019247,0,0,0,0,0,0,0,0,2.672143453,0,1.999927169,23.35812185,92324,0,0,0,49,UTAH
2546,492546,127.3333333,435.0489222,3.416614572,58.00752179,0,0,0,0,0,0,0,0,2.004285885,0,44.3250457,11.6781902,72263,0,0,0,49,UTAH
2547,492547,77,322.2760986,4.185403878,196.6783627,33,0,52,7.666666667,17.33333333,32,3,34.33333333,1.002142942,0,9.335421762,7.007464641,72263,525,0,0,49,UTAH
2548,492548,223.3333333,786.9762974,3.523774466,248.0191737,5,0,1.666666667,0,1,13.66666667,133,18.33333333,4.342857144,0,50.65414669,20.3555032,72263,0,0,0,49,UTAH
2549,492549,265.3333333,1026.863803,3.870089712,136.3706062,9.333333333,0,2.333333333,0.333333333,8.333333333,9.333333333,10.66666667,30.66666667,7.349524832,0,33.99548829,24.02559306,79487,0,0,0,49,UTAH
2550,492550,230.6666667,805.3832359,3.491545821,73.36409384,0,0,6.333333333,7,10,6.666666667,0,13.33333333,4.341905103,0,5.000206452,20.68864895,81903,0,0,0,49,UTAH
2551,492551,27.66666667,110.2886218,3.986335726,42.00493044,1,0,0,0,0,25,11.66666667,0.333333333,1.335476276,0,0,2.669454161,77565,0,0,0,49,UTAH
2552,492552,225.6666667,839.0621601,3.71814842,293.0297953,1.666666667,1.666666667,7.333333333,0.333333333,120.3333333,38,10.66666667,40.33333333,4.343096005,0,47.6646795,20.68868642,79448,0,0,0,49,UTAH
2553,492553,61,233.1272821,3.821758722,38.34244844,0,0,0,0,0,0,0,0,3.339762161,0,28.99628801,6.006398264,81903,0,0,0,49,UTAH
2554,492554,45.33333333,147.9668726,3.26397513,148.9644138,1,0.333333333,0.333333333,0,0.333333333,1.666666667,1.333333333,2,0,0,137.6265531,4.337860677,79487,0,0,0,49,UTAH
2555,492555,28.66666667,92.2177898,3.216899644,64.9787074,0,1,0,0,0,0,0,0,1.002142942,0,60.30697923,2.669585232,81903,0,0,0,49,UTAH
