TAZID,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
203,570203,279,786.9556412,2.820629538,44.01056068,0,0,10,0,0,1,8,0,6.031413613,0,0,18.97914707,59979,0,0,0,57,WEBER
204,570204,497,1451.166,2.919851107,355.9529316,20,136,4,1,0,79,12,51,0,0,18.99024741,33.96268423,66466,524,0,0,57,WEBER
205,570205,325,992.8509536,3.054926011,34.9758545,0,0,0,1,1,5,6,0,0,0,0,21.9758545,66466,0,0,0,57,WEBER
206,570206,22,58.40299727,2.654681694,4.003040557,1,0,0,0,0,0,0,0,1.005235602,0,0,1.997804955,66466,0,0,0,57,WEBER
207,570207,989,2717.224195,2.747446102,377.9070952,1,29,8,0,64,16,88,46,2.010471204,0,55.97125552,67.92536845,34574,555,0,0,57,WEBER
208,570208,877,2626.155115,2.994475616,175.9357912,5,0,0,3,6,83,1,10,1.005235602,0,6.99640694,59.93414864,54132,428,0,0,57,WEBER
209,570209,1237,3409.15123,2.755983209,196.9078081,9,0,0,0,3,3,75,23,0,0,0,83.90780809,33306,0,0,0,57,WEBER
210,570210,605,1757.039325,2.904197231,42.95500157,0,1,0,0,0,0,0,1,0,0,0,40.95500157,45718,0,0,0,57,WEBER
211,570211,238,743.4008636,3.12353304,73.01611174,4,0,5,0,3,1,16,4,8.041884817,0,15.99178729,15.98243964,62747,0,0,0,57,WEBER
212,570212,28,95.02860573,3.393878776,202.005915,1,0,1,0,1,84,5,79,4.020942408,0,24.98716764,1.997804955,62747,426,183,183,57,WEBER
213,570213,237,697.8663233,2.944583643,159.0207314,21,4,0,0,20,58,1,24,8.041884817,0,6.99640694,15.98243964,62747,462,0,0,57,WEBER
214,570214,334,804.7735048,2.409501511,729.974757,0,0,0,0,2,364,301,40,0,0,0,22.97475698,45090,503,0,0,57,WEBER
215,570215,0,0,0,5817.874243,755,34,1277,458,790,1131,18,1110,0,0,244.8742429,0,45090,0,0,0,57,WEBER
216,570216,103,238.5613956,2.316130054,7869.959364,26,3,975,578,106,4539,29,1498,4.020942408,0,104.9461041,6.992317341,45090,0,0,0,57,WEBER
217,570217,1153,3402.222061,2.950756341,303.8832167,1,1,0,0,8,85,1,48,2.010471204,0,78.95944975,78.9132957,44718,0,0,0,57,WEBER
218,570218,499,1542.23508,3.090651463,542.9663799,142,1,80,6,31,27,5,213,1.005235602,0,2.998460117,33.96268423,44718,0,0,0,57,WEBER
219,570219,844,2080.730513,2.465320513,1179.931211,212,100,1,6,77,123,95,498,0,0,9.994867057,57.93634368,31000,425,0,0,57,WEBER
220,570220,738,1729.322648,2.343255621,1689.950359,454,13,21,1,5,690,83,372,1.005235602,0,0,49.94512386,30234,0,0,0,57,WEBER
221,570221,827,1945.116773,2.352015445,512.9375121,140,4,9,1,13,108,1,179,0,0,1.998973411,55.93853873,27691,559,862,0,57,WEBER
222,570222,746,2013.418584,2.698952525,281.9304754,75,0,0,4,1,43,2,46,3.015706806,0,56.97074222,50.94402634,46822,462,0,0,57,WEBER
223,570223,126,336.5596453,2.671108296,12.98858241,0,0,0,0,1,0,0,0,0,0,2.998460117,8.990122295,46959,0,0,0,57,WEBER
224,570224,526,1362.076682,2.589499395,55.96048918,1,1,1,0,5,0,3,9,0,0,0,35.96048918,48047,0,0,0,57,WEBER
225,570225,519,1346.238581,2.593908634,48.9615867,0,0,0,5,1,1,0,7,0,0,0,34.9615867,48151,0,0,0,57,WEBER
226,570226,329,931.4783124,2.831241071,72.9758545,27,2,0,0,0,5,1,16,0,0,0,21.9758545,34092,0,0,0,57,WEBER
227,570227,537,1359.107038,2.530925583,1023.942966,78,244,0,0,1,139,76,417,0,0,31.98357458,36.95939166,36708,3.5,3.5,0,57,WEBER
228,570228,322,816.6520805,2.536186585,371.9568626,1,8,0,16,4,115,132,37,0,0,36.98100811,21.9758545,37097,0,0,1253,57,WEBER
229,570229,501,1143.312913,2.282061703,670.9601178,0,3,1,0,7,477,79,65,0,0,4.997433528,33.96268423,48456,502.1538462,15.92307692,15.92307692,57,WEBER
230,570230,449,980.9723779,2.184793715,38.9659768,0,3,1,0,1,1,0,2,0,0,0,30.9659768,51091,0,0,0,57,WEBER
231,570231,615,1406.621341,2.287189172,71.94158498,0,2,0,0,0,0,1,3,0,0,23.98768094,41.95390405,50361,0,0,0,57,WEBER
232,570232,28,89.08931787,3.181761353,31.1234594,0,0,0,0,0,0,5,0,24.12565445,0,0,1.997804955,79557,0,0,0,57,WEBER
233,570233,52,151.4518404,2.912535392,24.03749473,4,0,0,7,0,1,0,0,8.041884817,0,0,3.995609909,79557,0,0,0,57,WEBER
234,570234,104,295.9745116,2.845908765,33.06038017,9,0,3,0,1,0,0,0,13.06806283,0,0,6.992317341,79557,0,0,0,57,WEBER
235,570235,65,194.0167367,2.984872872,13.03749473,0,0,0,0,1,0,0,0,8.041884817,0,0,3.995609909,79557,0,0,0,57,WEBER
236,570236,91,273.2072415,3.002277379,15.03006408,0,0,0,0,1,0,0,1,7.036649215,0,0,5.993414864,79557,0,0,0,57,WEBER
237,570237,43,132.6440955,3.084746407,10.02812104,0,0,0,0,1,0,0,0,6.031413613,0,0,2.996707432,79557,0,0,0,57,WEBER
238,570238,199,604.8174802,3.03928382,75.96790129,0,0,6,0,0,1,0,0,2.010471204,0,52.9727954,13.98463468,79557,0,0,0,57,WEBER
239,570239,7,22.76727012,3.25246716,12.05759162,0,0,0,0,1,0,0,0,11.05759162,0,0,0,79557,0,0,0,57,WEBER
240,570240,68,211.8346003,3.11521471,13.0311616,0,0,0,0,0,0,0,1,7.036649215,0,0,4.994512386,79557,0,0,0,57,WEBER
241,570241,96,293.994749,3.062445302,33.00802415,0,0,0,23,0,0,0,0,3.015706806,0,0,6.992317341,79557,0,0,0,57,WEBER
242,570242,62,174.2191105,2.809985653,68.99776575,0,0,0,0,2,0,0,0,6.031413613,0,56.97074222,3.995609909,79557,0,0,0,57,WEBER
243,570243,145,442.4769454,3.051565141,135.9781429,0,0,0,5,1,4,0,50,4.020942408,0,61.96817575,9.989024773,51279,0,0,0,57,WEBER
244,570244,22,61.3726412,2.789665509,1130.882314,189,38,78,253,10,181,22,133,0,0,224.8845088,1.997804955,51279,0,0,0,57,WEBER
245,570245,35,83.15003001,2.375715143,335.0304505,0,0,5,17,2,275,0,8,8.041884817,0,17.9907607,1.997804955,51279,0,0,0,57,WEBER
246,570246,238,683.0181037,2.869823965,524.9916789,44,14,121,59,14,49,1,169,5.02617801,0,32.98306129,15.98243964,51279,0,0,0,57,WEBER
247,570247,194,460.294809,2.372653655,878.9061716,58,34,219,274,4,54,29,39,0,0,154.9204394,12.9857322,51279,13,3,0,57,WEBER
248,570248,46,114.8262319,2.496222433,431.042288,7,2,38,20,216,47,27,59,9.047120419,0,2.998460117,2.996707432,51279,0,0,0,57,WEBER
249,570249,84,205.8953124,2.451134671,654.9934149,46,6,100,150,47,49,56,195,0,0,0,5.993414864,51279,0,0,0,57,WEBER
250,570250,51,150.4619591,2.950234492,11.02812104,0,0,0,0,1,0,0,1,6.031413613,0,0,2.996707432,85322,0,0,0,57,WEBER
251,570251,93,302.9036808,3.257028826,18.01959287,0,0,0,0,2,1,0,4,5.02617801,0,0,5.993414864,85322,0,0,0,57,WEBER
252,570252,105,358.3370341,3.412733658,13.01849535,0,0,0,0,0,0,1,0,5.02617801,0,0,6.992317341,85322,0,0,0,57,WEBER
253,570253,23,70.28157299,3.055720565,3.003040557,0,0,0,0,0,0,0,0,1.005235602,0,0,1.997804955,85322,0,0,0,57,WEBER
254,570254,139,434.5578949,3.126315791,27.01219395,0,0,0,0,0,0,0,5,5.02617801,0,7.995893645,8.990122295,85322,0,0,0,57,WEBER
255,570255,88,265.288191,3.014638534,106.0291401,0,0,0,0,1,71,4,4,8.041884817,0,11.99384047,5.993414864,85322,812,0,0,57,WEBER
256,570256,238,803.7836234,3.377242115,128.9929108,0,1,1,1,13,73,4,18,2.010471204,0,0,15.98243964,85322,670,287,0,57,WEBER
257,570257,206,632.5341569,3.07055416,85.98987028,12,0,0,0,0,0,3,0,6.031413613,0,50.97382199,13.98463468,85322,0,0,0,57,WEBER
258,570258,286,972.0634461,3.398823238,87.99704144,0,0,0,1,2,3,17,26,5.02617801,0,13.99281388,19.97804955,85322,0,0,0,57,WEBER
259,570259,61,187.0875675,3.067009303,69.01655232,0,0,0,0,0,8,3,50,4.020942408,0,0,3.995609909,85322,0,0,0,57,WEBER
260,570260,13,41.57501501,3.198078078,3354.998902,217,15,1176,476,880,211,135,244,0,0,0,0.998902477,22791,0,0,0,57,WEBER
261,570261,29,85.12979263,2.935510091,1673.020016,104,0,642,161,87,124,21,254,1.005235602,89.11347518,187.9035007,1.997804955,22791,0,0,0,57,WEBER
262,570262,10,26.72679536,2.672679536,667.9989025,16,0,92,429,9,13,0,108,0,0,0,0.998902477,22791,0,0,0,57,WEBER
263,570263,0,0,0,585,0,0,0,424,0,25,0,136,0,0,0,0,22791,0,0,0,57,WEBER
264,570264,7,11.87857572,1.696939389,4370,21,64,2635,44,51,689,27,839,0,0,0,0,22791,0,0,0,57,WEBER
265,570265,168,516.7180436,3.07570264,148.0153372,0,0,0,0,0,0,0,0,17.08900524,0,119.9384047,10.98792725,81994,0,0,0,57,WEBER
266,570266,71,214.8042442,3.02541189,51.034652,0,0,0,0,0,0,1,0,11.05759162,0,33.98254799,4.994512386,81994,0,0,0,57,WEBER
267,570267,349,1080.95039,3.097279054,173.961443,0,0,0,1,0,0,2,0,11.05759162,0,135.930192,23.97365945,81994,0,0,0,57,WEBER
268,570268,495,1574.901164,3.181618513,395.873679,3,0,18,3,10,14,44,7,8.041884817,0,254.8691099,33.96268423,81994,0,0,0,57,WEBER
269,570269,267,826.5508936,3.095696231,283.9816818,0,0,0,0,0,0,0,0,24.12565445,0,241.8757828,17.98024459,80294,0,0,0,57,WEBER
270,570270,450,1429.388611,3.176419136,140.0084776,9,0,1,0,2,13,3,7,14.07329843,0,59.96920234,30.9659768,80294,0,0,0,57,WEBER
271,570271,349,1037.395613,2.972480266,231.0468552,11,0,21,24,1,66,1,24,18.09424084,0,40.97895493,23.97365945,80294,634,0,0,57,WEBER
272,570272,480,1626.374992,3.388281233,71.96337111,0,0,0,0,14,1,1,11,1.005235602,0,10.99435376,32.96378175,81969,0,0,0,57,WEBER
273,570273,218,741.4211009,3.401014224,203.9835372,0,1,6,3,5,159,9,6,0,0,0,14.98353716,81969,535,1042,0,57,WEBER
274,570274,313,1034.425969,3.3048753,62.98978438,0,0,1,0,0,1,2,7,5.02617801,0,25.98665435,20.97695202,81969,0,0,0,57,WEBER
275,570275,420,1369.995733,3.261894602,133.9751526,0,0,0,0,1,72,2,10,3.015706806,0,16.991274,28.96817184,81969,818,0,0,57,WEBER
276,570276,1135,3672.459659,3.235647277,424.9128533,45,2,0,11,13,89,19,165,0,0,2.998460117,77.91439323,67121,697,0,0,57,WEBER
