TAZID,CO_FIPS,PARCEL_ID,OWN_TYPE,Shape_Area,ACRES
8,3,04-047-0011,Private,872988.7485,20.04032971
8,3,Conflict,Private,15900.65245,0.365015378
9,3,04-002-0008,Private,161998.7266,3.718842767
9,3,04-002-0009,Private,161912.4379,3.716861925
9,3,04-002-0016,Private,81778.68158,1.877311414
9,3,04-002-0017,Private,80667.22753,1.851796875
9,3,04-028-0028,Private,3138.332347,0.072043557
9,3,04-028-0033,Private,33989.18445,0.780255718
9,3,04-028-0035,Private,23662.41401,0.543194376
9,3,04-028-0048,Private,13449.49306,0.308746563
9,3,04-028-0067,Private,22546.52499,0.517578028
9,3,04-028-0124,Private,4044.793745,0.092852285
9,3,04-028-0126,Private,22333.67013,0.512691732
9,3,04-028-0134,Private,20308.33617,0.466198165
9,3,04-028-0135,Private,65771.40406,1.509848351
9,3,04-028-0142,Private,22413.38533,0.514521674
9,3,04-028-0144,Private,25537.51887,0.586239283
9,3,04-028-0145,Private,116536.5418,2.675212854
9,3,04-028-0146,Private,253973.9862,5.830226827
9,3,04-028-0157,Private,125536.341,2.881812244
9,3,04-028-0158,Private,24904.5522,0.5717089
9,3,04-035-0005,Private,11987.98072,0.275196086
9,3,04-035-0041,Private,15069.21667,0.345928938
9,3,04-035-0053,Private,12219.59842,0.280513101
9,3,04-035-0054,Private,4042.627286,0.092802552
9,3,04-035-0063,Private,6483.576227,0.148836976
9,3,04-035-0068,Private,22305.36684,0.512042001
9,3,04-035-0069,Private,2280.399165,0.052348843
10,3,04-034-0003,Private,162555.5298,3.731624743
10,3,04-034-0007,Private,86912.03456,1.995152665
10,3,04-034-0013,Private,7652.956071,0.17568126
10,3,04-034-0014,Private,91129.89354,2.091977836
10,3,04-034-0015,Private,80389.62134,1.845424147
10,3,04-034-0016,Private,126912.6097,2.913405869
10,3,04-034-0017,Private,101568.4957,2.331606386
10,3,04-034-0018,Private,99659.47519,2.287782913
10,3,04-034-0019,Private,120194.3073,2.759180518
10,3,04-034-0020,Private,68113.54828,1.563614614
10,3,04-034-0023,Private,13726.37635,0.315102695
10,3,04-034-0024,Private,9180.196378,0.210740588
10,3,04-034-0027,Private,22245.34877,0.510664226
10,3,04-034-0028,Private,106914.4715,2.454328607
10,3,04-034-0029,Private,22245.48126,0.510667268
10,3,04-034-0030,Private,12533.79768,0.287725859
10,3,04-035-0009,Private,18861.5722,0.432986251
10,3,04-035-0011,Private,4165.576267,0.095624969
10,3,04-035-0014,Private,6448.075299,0.148022017
10,3,04-035-0015,Private,22202.3803,0.509677842
10,3,04-035-0016,Private,3927.011789,0.090148483
10,3,04-035-0017,Private,22003.68435,0.505116578
10,3,04-035-0018,Private,5058.924762,0.116132677
10,3,04-035-0019,Private,7185.109638,0.164941377
10,3,04-035-0020,Private,3507.644597,0.080521489
10,3,04-035-0021,Private,281616.6335,6.464791439
10,3,04-035-0024,Private,3511.628639,0.080612947
10,3,04-035-0025,Private,59853.9047,1.374006236
10,3,04-035-0027,Private,14418.1218,0.330982404
10,3,04-035-0031,Private,93569.2643,2.147976031
10,3,04-035-0034,Private,4018.197768,0.092241748
10,3,04-035-0035,Private,4587.943659,0.105320835
10,3,04-035-0037,Private,5308.940729,0.121872043
10,3,04-035-0038,Private,4181.027037,0.095979657
10,3,04-035-0039,Private,20479.41847,0.47012553
10,3,04-035-0040,Private,17962.68656,0.412351433
10,3,04-035-0041,Private,15069.21667,0.345928938
10,3,04-035-0042,Private,95838.3232,2.200064547
