TAZ,BLKGRPCE,STATEFP,COUNTYFP,TRACT,GEOID,NAME,NAMELSAD,PUMA,REGION
114,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
115,2,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
116,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
117,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
118,2,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
119,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
120,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
121,2,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
122,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
123,2,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
124,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
125,2,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
126,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
127,2,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
128,2,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
129,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
130,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
131,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
132,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
133,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
134,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
135,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
141,1,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
142,1,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
143,1,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
144,2,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
145,2,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
146,2,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
147,2,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
148,5,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
149,5,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
150,1,49,57,210402,49057210402,2104.02,Census Tract 2104.02,57001,1
151,1,49,57,210402,49057210402,2104.02,Census Tract 2104.02,57001,1
152,1,49,57,210402,49057210402,2104.02,Census Tract 2104.02,57001,1
153,1,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
154,1,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
155,1,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
156,1,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
157,1,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
158,3,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
159,3,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
160,4,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
161,4,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
162,4,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
163,4,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
164,4,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
165,4,49,57,210403,49057210403,2104.03,Census Tract 2104.03,57001,1
166,1,49,57,210404,49057210404,2104.04,Census Tract 2104.04,57001,1
167,1,49,57,210404,49057210404,2104.04,Census Tract 2104.04,57001,1
168,1,49,57,210404,49057210404,2104.04,Census Tract 2104.04,57001,1
169,1,49,57,210404,49057210404,2104.04,Census Tract 2104.04,57001,1
170,2,49,57,210404,49057210404,2104.04,Census Tract 2104.04,57001,1
171,2,49,57,210404,49057210404,2104.04,Census Tract 2104.04,57001,1
172,2,49,57,210404,49057210404,2104.04,Census Tract 2104.04,57001,1
173,2,49,57,210404,49057210404,2104.04,Census Tract 2104.04,57001,1
174,4,49,57,210303,49057210303,2103.03,Census Tract 2103.03,57001,1
175,4,49,57,210303,49057210303,2103.03,Census Tract 2103.03,57001,1
176,4,49,57,210303,49057210303,2103.03,Census Tract 2103.03,57001,1
177,1,49,57,210304,49057210304,2103.04,Census Tract 2103.04,57001,1
178,1,49,57,210304,49057210304,2103.04,Census Tract 2103.04,57001,1
179,1,49,57,210304,49057210304,2103.04,Census Tract 2103.04,57001,1
180,3,49,57,210303,49057210303,2103.03,Census Tract 2103.03,57001,1
181,3,49,57,210303,49057210303,2103.03,Census Tract 2103.03,57001,1
182,1,49,57,210303,49057210303,2103.03,Census Tract 2103.03,57001,1
183,2,49,57,210303,49057210303,2103.03,Census Tract 2103.03,57001,1
184,1,49,57,210303,49057210303,2103.03,Census Tract 2103.03,57001,1
185,2,49,57,210304,49057210304,2103.04,Census Tract 2103.04,57001,1
186,2,49,57,210304,49057210304,2103.04,Census Tract 2103.04,57001,1
187,2,49,57,210100,49057210100,2101,Census Tract 2101,57002,1
188,2,49,57,210100,49057210100,2101,Census Tract 2101,57002,1
189,2,49,57,210201,49057210201,2102.01,Census Tract 2102.01,57001,1
190,3,49,57,210201,49057210201,2102.01,Census Tract 2102.01,57001,1
191,2,49,57,210203,49057210203,2102.03,Census Tract 2102.03,57001,1
192,1,49,57,210203,49057210203,2102.03,Census Tract 2102.03,57001,1
193,2,49,57,210402,49057210402,2104.02,Census Tract 2104.02,57001,1
194,2,49,57,210402,49057210402,2104.02,Census Tract 2104.02,57001,1
195,4,49,57,210302,49057210302,2103.02,Census Tract 2103.02,57001,1
196,2,49,57,210302,49057210302,2103.02,Census Tract 2103.02,57001,1
197,3,49,57,210302,49057210302,2103.02,Census Tract 2103.02,57001,1
198,3,49,57,210302,49057210302,2103.02,Census Tract 2103.02,57001,1
199,3,49,57,210302,49057210302,2103.02,Census Tract 2103.02,57001,1
200,1,49,57,210302,49057210302,2103.02,Census Tract 2103.02,57001,1
201,1,49,57,210204,49057210204,2102.04,Census Tract 2102.04,57001,1
202,1,49,57,210204,49057210204,2102.04,Census Tract 2102.04,57001,1
203,1,49,57,210204,49057210204,2102.04,Census Tract 2102.04,57001,1
204,2,49,57,210204,49057210204,2102.04,Census Tract 2102.04,57001,1
205,2,49,57,210204,49057210204,2102.04,Census Tract 2102.04,57001,1
206,2,49,57,210204,49057210204,2102.04,Census Tract 2102.04,57001,1
207,2,49,57,200204,49057200204,2002.04,Census Tract 2002.04,57001,1
208,1,49,57,200204,49057200204,2002.04,Census Tract 2002.04,57001,1
209,3,49,57,200203,49057200203,2002.03,Census Tract 2002.03,57001,1
210,2,49,57,200203,49057200203,2002.03,Census Tract 2002.03,57001,1
211,2,49,57,210402,49057210402,2104.02,Census Tract 2104.02,57001,1
212,2,49,57,210402,49057210402,2104.02,Census Tract 2104.02,57001,1
213,2,49,57,210402,49057210402,2104.02,Census Tract 2104.02,57001,1
214,1,49,57,200300,49057200300,2003,Census Tract 2003,57001,1
215,1,49,57,200300,49057200300,2003,Census Tract 2003,57001,1
216,1,49,57,200300,49057200300,2003,Census Tract 2003,57001,1
217,2,49,57,200300,49057200300,2003,Census Tract 2003,57001,1
218,2,49,57,200300,49057200300,2003,Census Tract 2003,57001,1
219,3,49,57,200300,49057200300,2003,Census Tract 2003,57001,1
220,1,49,57,200202,49057200202,2002.02,Census Tract 2002.02,57001,1
221,2,49,57,200202,49057200202,2002.02,Census Tract 2002.02,57001,1
222,1,49,57,200100,49057200100,2001,Census Tract 2001,57001,1
223,2,49,57,200100,49057200100,2001,Census Tract 2001,57001,1
224,3,49,57,200100,49057200100,2001,Census Tract 2001,57001,1
225,2,49,57,200100,49057200100,2001,Census Tract 2001,57001,1
226,1,49,57,200500,49057200500,2005,Census Tract 2005,57002,1
227,2,49,57,200500,49057200500,2005,Census Tract 2005,57002,1
228,1,49,57,200600,49057200600,2006,Census Tract 2006,57002,1
